iter	Logloss
0	0.6339021156
5	0.4309261277
10	0.3253333627
15	0.2738859977
20	0.2461470537
25	0.2296728297
30	0.2197059665
35	0.2115729075
40	0.2062325665
45	0.2016636401
50	0.1984581976
55	0.195710365
60	0.1937546641
65	0.1919321458
70	0.190363061
75	0.1885481688
80	0.1872134336
85	0.1857855381
90	0.1845271264
95	0.1833271333
100	0.1825328647
105	0.1812592865
110	0.1804118064
115	0.1795029971
120	0.1787843521
125	0.1779236335
130	0.1771602627
135	0.1764988819
140	0.1758765409
145	0.1752993431
150	0.1746810547
155	0.174228836
160	0.1736956026
165	0.1732174229
170	0.1726538565
175	0.1721512262
180	0.171758212
185	0.1712860989
190	0.1708959706
195	0.1704099559
200	0.1699641109
205	0.1696597622
210	0.1693087475
215	0.1690102443
220	0.1686763855
225	0.1684011663
230	0.1681046035
235	0.1678412718
240	0.1675216707
245	0.1672645653
250	0.1670090318
255	0.1667557333
260	0.1664990209
265	0.1662799115
270	0.1660498969
275	0.1657937739
280	0.1656496004
285	0.1654288454
290	0.1652350707
295	0.1650462328
300	0.1648175446
305	0.1646491415
310	0.1644280549
315	0.1642416363
320	0.1640798156
325	0.163954247
330	0.1637898351
335	0.1636377406
340	0.1634327784
345	0.1632537649
350	0.1631498224
355	0.1629967577
360	0.1628721348
365	0.1627485557
370	0.1625954542
375	0.1624914748
380	0.1623515872
385	0.1621901226
390	0.1620730154
395	0.1619488223
400	0.161836615
405	0.1617106657
410	0.16159879
415	0.1614723986
420	0.1613754315
425	0.161264268
430	0.1611597606
435	0.1610744354
440	0.1609644018
445	0.1608819011
450	0.1608069652
455	0.1607048034
460	0.1606063994
465	0.1604784362
470	0.1604025301
475	0.1603000981
480	0.160211973
485	0.1601332056
490	0.1600539224
495	0.1599460501
500	0.1598758545
505	0.1598128553
510	0.1596986217
515	0.1596283279
520	0.1595499781
525	0.159445618
530	0.1593751277
535	0.1592812061
540	0.1591873828
545	0.1590924051
550	0.1590215832
555	0.1589481578
560	0.1588627958
565	0.1587998089
570	0.1587407395
575	0.1586857718
580	0.1585855748
585	0.1585389702
590	0.1584739079
595	0.1584043754
600	0.1583443359
605	0.1582932734
610	0.1582252269
615	0.1581731697
620	0.1581162739
625	0.1580616501
630	0.15801577
635	0.1579606549
640	0.1579097152
645	0.1578641544
650	0.1578142463
655	0.1577434121
660	0.1576899426
665	0.1576283926
670	0.1575510252
675	0.1575000855
680	0.1574493423
685	0.1573877676
690	0.1573258491
695	0.157282548
700	0.1572394924
705	0.1571814545
710	0.1571435691
715	0.1570975048
720	0.1570703648
725	0.1570277513
730	0.1569824115
735	0.1569308332
740	0.1568799304
745	0.1568355608
750	0.1567830492
755	0.1567368007
760	0.1566832821
765	0.156637009
770	0.1565870149
775	0.1565496698
780	0.1565013704
785	0.1564533903
790	0.1564094751
795	0.1563705704
800	0.1563257955
805	0.1562820768
810	0.1562358528
815	0.1561757518
820	0.1561384927
825	0.1561027195
830	0.156063041
835	0.1560039225
840	0.1559695124
845	0.1559155026
850	0.1558825171
855	0.1558510789
860	0.15580849
865	0.1557766342
870	0.1557266033
875	0.1556824425
880	0.1556419413
885	0.1555895033
890	0.1555451706
895	0.1555042518
900	0.1554623383
905	0.1554259265
910	0.1553873165
915	0.1553513222
920	0.1553220086
925	0.1552878687
930	0.1552536305
935	0.1552203503
940	0.1551951997
945	0.1551580879
950	0.1551251761
955	0.1550952361
960	0.1550570682
965	0.1550229651
970	0.1549895252
975	0.1549563186
980	0.1549295347
985	0.1548964755
990	0.1548645707
995	0.1548366079
1000	0.1547985628
1005	0.1547679597
1010	0.1547198199
1015	0.1546863432
1020	0.1546593751
1025	0.1546296808
1030	0.1545947549
1035	0.1545608115
1040	0.1545301838
1045	0.1545055982
1050	0.1544765178
1055	0.1544482726
1060	0.1544012627
1065	0.1543689649
