iter	Passed	Remaining
0	14	142191
1	26	133965
2	39	130655
3	51	128487
4	63	127573
5	76	127286
6	88	126781
7	101	126267
8	113	126018
9	124	124622
10	136	124378
11	149	124222
12	161	124157
13	173	124097
14	186	124052
15	198	123924
16	210	123386
17	221	122871
18	232	121939
19	242	121214
20	254	120751
21	264	120110
22	275	119559
23	286	119011
24	296	118413
25	306	117730
26	316	117004
27	326	116318
28	336	115828
29	347	115523
30	358	115388
31	369	115229
32	380	114951
33	391	114722
34	401	114290
35	411	113997
36	421	113611
37	431	113251
38	442	112922
39	452	112575
40	462	112330
41	472	112055
42	482	111763
43	493	111557
44	501	111023
45	511	110598
46	520	110130
47	528	109658
48	537	109165
49	546	108756
50	556	108490
51	565	108192
52	574	107890
53	584	107647
54	593	107358
55	603	107099
56	612	106791
57	621	106527
58	630	106191
59	639	105916
60	648	105682
61	657	105398
62	666	105104
63	675	104806
64	684	104549
65	693	104325
66	701	104011
67	710	103706
68	718	103443
69	727	103144
70	735	102902
71	744	102647
72	752	102387
73	761	102191
74	770	101951
75	779	101784
76	787	101530
77	796	101276
78	804	101048
79	812	100804
80	821	100629
81	830	100416
82	838	100193
83	846	99956
84	855	99756
85	863	99590
86	872	99405
87	881	99235
88	889	99044
89	897	98877
90	906	98663
91	913	98421
92	922	98226
93	930	98019
94	937	97789
95	946	97650
96	954	97423
97	961	97199
98	969	97000
99	977	96802
100	985	96630
101	993	96428
102	1001	96240
103	1010	96120
104	1018	95965
105	1026	95844
106	1035	95697
107	1043	95570
108	1051	95441
109	1060	95326
110	1068	95225
111	1077	95102
112	1085	94972
113	1093	94831
114	1101	94691
115	1110	94603
116	1118	94480
117	1126	94364
118	1134	94237
119	1143	94145
120	1152	94056
121	1160	93948
122	1168	93829
123	1176	93716
124	1184	93601
125	1193	93547
126	1201	93434
127	1210	93327
128	1218	93207
129	1226	93089
130	1234	93007
131	1243	92936
132	1251	92835
133	1259	92756
134	1268	92662
135	1276	92586
136	1284	92492
137	1292	92389
138	1300	92288
139	1309	92198
140	1317	92120
141	1325	92023
142	1333	91927
143	1341	91816
144	1349	91725
145	1357	91642
146	1365	91557
147	1374	91491
148	1382	91406
149	1390	91315
150	1399	91251
151	1407	91161
152	1414	91068
153	1422	90964
154	1430	90870
155	1439	90806
156	1447	90725
157	1455	90641
158	1463	90560
159	1471	90470
160	1479	90419
161	1487	90345
162	1495	90263
163	1503	90176
164	1511	90096
165	1519	90039
166	1528	89979
167	1536	89908
168	1544	89826
169	1552	89761
170	1560	89718
171	1569	89667
172	1577	89611
173	1585	89551
174	1593	89486
175	1602	89434
176	1610	89370
177	1618	89305
178	1626	89242
179	1634	89188
180	1643	89147
181	1651	89088
182	1659	89034
183	1667	88973
184	1675	88918
185	1684	88886
